itemCode,descriptionEng,descriptionChi,unit,packageUnit,unitPrice,cost
103643,POST-IT 660 NOTES 102X152 RULED CAN YLLW,Post-it 報事貼 660 黃色單行便條紙 4吋 x 6吋,EA,1,26.3,
103687,PK12 LYRECO STICKY NOTE 50X40 YLLW,Lyreco 黃色可再貼便條紙 1.5吋 x 2吋 - 12本裝,EA,1,30.5,
103803,BX1200 AVERY L7164 LASER LABELS 63.5X72,Avery 艾利 L7164-100 鐳射列印標籤 63.5 x 72毫米 每盒1200個標籤,EA,1,230,
103916,POST-IT R330 Z-NOTE PAD 3'X3' YLLW,Post-it 報事貼 R330-YW 抽取式便條紙 黃色 3吋 x 3吋,EA,1,9.4,
105115,WOODEN BASE GUILLOTINE A4 330X254,A4 手裁切紙機,EA,1,239,
105569,CLIPBOARD W/RULER A4 TRANSP BLU,單板夾 透明藍色 A4,EA,1,18.8,
106107,POST-IT 656 NOTE 76X51 PASTEL YLLW,Post-it 報事貼 656 便條紙 2吋 x 3吋,EA,1,6.7,
106131,POST-IT 657 NOTES 102X76MM 100SHT YLLW,Post-it 報事貼 657 便條紙 3吋 x 4吋,EA,1,11.8,
106164,POST-IT 655 NOTES 127X76MM 100SHT YLLW,Post-it 報事貼 655 便條紙 3吋 x 5吋,EA,1,10.5,
106175,POST-IT 654 NOTES 76X76MM 100SHT YLLW,Post-it 報事貼 654 便條紙 3吋 x 3吋,EA,1,5.9,
106186,PK12 POST-IT 653 NOTE 38X51 CANARY YLLW,Post-it 報事貼 653 便條紙 1-3/8吋 x 1-7/8吋 - 12本裝,EA,1,36.6,
106324,PK12 POST-IT 653AN NOTE 1.5X2'' CAPETOWN,Post-it 報事貼 653-AN 彩色便條紙 (南非開普敦色系) 1-3/8吋 x 1-7/8吋 - 12本裝,EA,1,60.9,
107101,BX1000 AVERY L7173 LASER LAB 99.1X57MM,Avery 艾利 L7173-100 鐳射列印標籤 99.1 x 57.0毫米 每盒1000個標籤,EA,1,230,
107112,BX400 AVERY L7169 LASER LABEL 99.1X139MM,Avery 艾利 L7169-100 鐳射列印標籤 139.0 x 99.1毫米 每盒400個標籤,EA,1,230,
111561,NATIONAL STENO NOTEPAD 6X9 80SHT YLLW,National 速記簿 6吋 x 9吋 - 每本80張紙,EA,1,17.4,
111732,BX2400 AVERY L7159 LAS LABEL 63.5X33.9MM,Avery 艾利 L7159-100 鐳射列印標籤 64.0 x 34.0毫米 每盒2400個標籤,EA,1,230,
112201,FELLOWES PS-65C PERSONAL SHREDDER C/CUT,Fellowes Powershred PS-65C 粒狀碎紙機,EA,1,1271,
118531,BROTHER TZE221 TAPE 9MM BLK/WH,Brother TZe 型標籤帶 TZe-221 9毫米x8米 黑色字白色底,EA,1,107,
118542,BROTHER TZE621 TAPE 9MM BLK/YLLW,Brother TZe 型標籤帶 TZe-621 9毫米x8米 黑色字黃色底,EA,1,107,
118597,BROTHER TZE121 TAPE 9MM BLK/CLEAR,Brother TZe 型標籤帶 TZe-121 9毫米x8米 黑色字透明底,EA,1,107,
119374,PK100 LYRECO BUDGET POCK 55MI ORGE PEEL,Lyreco Budget A4 文件套 磨砂面 - 100個裝,EA,1,43,
120061,LYRECO DIVIDER 1-31  PP A4 120MICRON GRY,Lyreco A4 塑膠索引分類 1-31,EA,1,28.5,
120072,LYRECO DIVIDER 1-12  PP A4 120MICRON GRY,Lyreco A4 塑膠索引分類 1-12,EA,1,14.5,
120083,LYRECO A-Z DIVIDER PP 120MI GRY,Lyreco A4 塑膠索引分類 A-Z,EA,1,19.5,
122284,RM500 LYRECO PAPER A4 80G CANARY,Lyreco A4 粉色顏色紙 80磅 粉黃色 - 每捻500張,EA,1,59,
122318,RM500 LYRECO PAPER A4 80G PALE GR,Lyreco A4 粉色顏色紙 80磅 粉綠色 - 每捻500張,EA,1,59,
122331,RM500 LYRECO PAPER A4 80G PALE BLU,Lyreco A4 粉色顏色紙 80磅 粉藍色 - 每捻500張,EA,1,59,
122386,RM500 LYRECO PAPER A4 80G LIGHT PINK,Lyreco A4 粉色顏色紙 80磅 粉紅色 - 每捻500張,EA,1,59,
122579,RM500 DCP 1822 PAPER A3 100G WH,DCP A3 彩色鐳射專用紙 100磅 - 每捻500張,EA,1,208.6,
122661,LYRECO AUTOMATIC ARCHIVE BOX 100MM,Lyreco 檔案儲存箱 - D10CM,EA,1,8.5,
122843,LYRECO AUTOMATIC ARCHIVE BOX 150MM,Lyreco 檔案儲存箱 - D15CM,EA,1,9,
123083,PRITT GLUE STICK 11G,Pritt 百特 漿糊筆 11克,EA,1,9.1,
123094,PRITT GLUE STICK 22G,Pritt 百特 漿糊筆 22克,EA,1,12.9,
123106,PRITT GLUE STICK 43G,Pritt 百特 漿糊筆 43克,EA,1,21.7,
123117,UHU GLUE STICK STANDARD 8G,UHU 漿糊筆 8.2克,EA,1,9.4,
123128,UHU GLUE STICK MEDIUM 21G,UHU 漿糊筆 21克,EA,1,16.2,
123139,UHU GLUE STICK LARGE 40G,UHU 漿糊筆 40克,EA,1,30.8,
124439,PILOT H185 MEC PENCIL 0.5,PILOT 百樂牌 Super Grip 鉛芯筆 0.5毫米 混色,EA,1,9.7,
125103,PILOT G2 RETRACT GEL B/POINT PEN 0.7 BLK,PILOT 百樂牌 G2 按掣啫喱筆 0.7毫米 黑色,EA,1,10,
125114,PILOT G2 RETRACT GEL B/POINT PEN 0.7 BLU,PILOT 百樂牌 G2 按掣啫喱筆 0.7毫米 藍色,EA,1,10,
125136,PILOT G2 RETRACT GEL B/POINT PEN 0.7 RED,PILOT 百樂牌 G2 按掣啫喱筆 0.7毫米 紅色,EA,1,10,
125604,STAEDTLER 350 DRYSAFE C/TIP MARKER BLK,STAEDTLER 施德樓 Lumocolor 350 防乾箱頭筆 2-5毫米 黑色,EA,1,9,
125637,STAEDTLER 350 DRYSAFE C/TIP MARKER BLU,STAEDTLER 施德樓 Lumocolor 350 防乾箱頭筆 2-5毫米 藍色,EA,1,9,
